N,Model,Precision,Recall,NDCG,AUC
1,WARP,0.12477772,0.005927040240085844,0.129,0.9529
2,WARP,0.12426296,0.01174102761286307,0.1216497966625437,0.9529
3,WARP,0.12311801,0.017420011236452093,0.12102805006153478,0.9529
4,WARP,0.12283567,0.02310019207776835,0.12186397175515226,0.9529
5,WARP,0.12215339,0.02870077102237271,0.1229314599716601,0.9529
6,WARP,0.12109328,0.03411011305400833,0.12284408083701641,0.9529
7,WARP,0.120378874,0.03954033247849571,0.12332756361041111,0.9529
8,WARP,0.11953419,0.044862039771845656,0.12262553336999275,0.9529
9,WARP,0.11865261,0.05008543748813365,0.12113287385236365,0.9529
10,WARP,0.118003495,0.05524036301012716,0.120365698834552,0.9529
11,WARP,0.11732945,0.060444957881032144,0.12009231589731886,0.9529
12,WARP,0.11679115,0.06556289203809133,0.12016988470024931,0.9529
13,WARP,0.11607361,0.07053792156868773,0.11931144240391185,0.9529
14,WARP,0.11543717,0.07552198662314259,0.11897320453436504,0.9529
15,WARP,0.11460109,0.08028684714809836,0.11910677296662806,0.9529
16,WARP,0.11404849,0.085170114438682,0.11923386393338253,0.9529
17,WARP,0.11326252,0.08982965645119664,0.11882148282774907,0.9529
18,WARP,0.11256492,0.09448594287979158,0.11892780874999,0.9529
19,WARP,0.11191513,0.09911443033392611,0.1190538171655661,0.9529
20,WARP,0.11124797,0.10364990985783115,0.11946259089323934,0.9529
1,BPR,0.09048537,0.0043377590614903875,0.113,0.9022
2,BPR,0.091617845,0.008705371644296588,0.10332867981913646,0.9022
3,BPR,0.09188302,0.013074858632975335,0.1051286734998306,0.9022
4,BPR,0.09234319,0.017497193505356536,0.10157636167962722,0.9022
5,BPR,0.09204277,0.021772693390839606,0.10110712486823958,0.9022
6,BPR,0.09148992,0.025974901086778246,0.09906060618147275,0.9022
7,BPR,0.090675235,0.02997536622754054,0.09732523906066406,0.9022
8,BPR,0.09033328,0.034085992243202475,0.09659077599498589,0.9022
9,BPR,0.08984688,0.03807412990988838,0.09523350047447297,0.9022
10,BPR,0.0889542,0.04182710208249106,0.09417982590533461,0.9022
11,BPR,0.08825447,0.04562213103726275,0.09375999442146997,0.9022
12,BPR,0.08763235,0.04937377306326439,0.09270307117317726,0.9022
13,BPR,0.086782,0.05292572598655781,0.09230162111553107,0.9022
14,BPR,0.086058445,0.05644999012314208,0.09162629045141867,0.9022
15,BPR,0.08542639,0.059998342933413745,0.09087178836715529,0.9022
16,BPR,0.08466859,0.06338139606612295,0.09075721014600065,0.9022
17,BPR,0.084038496,0.06680204950394206,0.09079963530259963,0.9022
18,BPR,0.08335258,0.07008998387603206,0.09055938435932866,0.9022
19,BPR,0.08259403,0.07328427353765884,0.09031876223184507,0.9022
20,BPR,0.08187017,0.07642698071524025,0.09052031015094888,0.9022
1,WARP-KOS,0.11895625,0.005550774063214231,0.108,0.9115
2,WARP-KOS,0.118974976,0.011093957554691522,0.1126422336868145,0.9115
3,WARP-KOS,0.11878155,0.0166421955562254,0.11296081910965865,0.9115
4,WARP-KOS,0.11759448,0.021965924404411485,0.110613620988425,0.9115
5,WARP-KOS,0.11735769,0.027424139814214783,0.11197636665171126,0.9115
6,WARP-KOS,0.11679427,0.03276161733168714,0.11115380871707577,0.9115
7,WARP-KOS,0.11623673,0.03801677270187685,0.1104597686381543,0.9115
8,WARP-KOS,0.11530848,0.04307683324492163,0.10944712343334864,0.9115
9,WARP-KOS,0.11457821,0.048127319393600106,0.10969804530082039,0.9115
10,WARP-KOS,0.1141718,0.05324427294287492,0.10967011381451007,0.9115
11,WARP-KOS,0.1135466,0.058227268033911074,0.1089404925454315,0.9115
12,WARP-KOS,0.1127339,0.06306676297461354,0.10852405167392325,0.9115
13,WARP-KOS,0.11211104,0.06792403191130401,0.10834972019370545,0.9115
14,WARP-KOS,0.111336485,0.07263358456229653,0.10909763425020451,0.9115
15,WARP-KOS,0.1106153,0.07727358613189783,0.1078549084469642,0.9115
16,WARP-KOS,0.10989766,0.08183465117590882,0.10776626041067329,0.9115
17,WARP-KOS,0.109311804,0.08648037439464051,0.10788959719656423,0.9115
18,WARP-KOS,0.10871099,0.09105730584137965,0.1082253952168903,0.9115
19,WARP-KOS,0.10819015,0.09563711602797514,0.10925602217113253,0.9115
20,WARP-KOS,0.10767647,0.10018337477741865,0.10981260241981343,0.9115
